Time	Simple_Euler_X	Modified_Euler_X	Analytical_X
0	1	1	1
0.01	1	0.99995	0.99995
0.02	0.9999	0.9998	0.9998
0.03	0.9997	0.99955	0.99955
0.04	0.9994	0.9992	0.9992
0.05	0.999	0.99875	0.99875
0.06	0.9985	0.998201	0.998201
0.07	0.9979	0.997551	0.997551
0.08	0.997201	0.996802	0.996802
0.09	0.996401	0.995953	0.995953
0.1	0.995502	0.995004	0.995004
0.11	0.994503	0.993956	0.993956
0.12	0.993405	0.992809	0.992809
0.13	0.992207	0.991562	0.991562
0.14	0.99091	0.990216	0.990216
0.15	0.989514	0.988771	0.988771
0.16	0.988018	0.987227	0.987227
0.17	0.986424	0.985585	0.985585
0.18	0.984731	0.983844	0.983844
0.19	0.982939	0.982004	0.982004
0.2	0.981048	0.980066	0.980067
0.21	0.97906	0.978031	0.978031
0.22	0.976973	0.975897	0.975897
0.23	0.974788	0.973666	0.973666
0.24	0.972506	0.971338	0.971338
0.25	0.970126	0.968912	0.968912
0.26	0.967649	0.96639	0.96639
0.27	0.965075	0.963771	0.963771
0.28	0.962404	0.961055	0.961055
0.29	0.959637	0.958244	0.958244
0.3	0.956773	0.955336	0.955336
0.31	0.953814	0.952333	0.952334
0.32	0.950759	0.949235	0.949235
0.33	0.947608	0.946042	0.946042
0.34	0.944362	0.942754	0.942755
0.35	0.941022	0.939372	0.939373
0.36	0.937587	0.935896	0.935897
0.37	0.934058	0.932327	0.932327
0.38	0.930435	0.928664	0.928665
0.39	0.926719	0.924908	0.924909
0.4	0.92291	0.92106	0.921061
0.41	0.919008	0.91712	0.917121
0.42	0.915014	0.913088	0.913089
0.43	0.910928	0.908965	0.908966
0.44	0.90675	0.904751	0.904752
0.45	0.902482	0.900446	0.900447
0.46	0.898123	0.896052	0.896052
0.47	0.893673	0.891567	0.891568
0.48	0.889134	0.886994	0.886995
0.49	0.884505	0.882332	0.882333
0.5	0.879787	0.877582	0.877583
0.51	0.874981	0.872743	0.872745
0.52	0.870087	0.867818	0.867819
0.53	0.865105	0.862806	0.862807
0.54	0.860037	0.857708	0.857709
0.55	0.854882	0.852523	0.852525
0.56	0.849641	0.847254	0.847255
0.57	0.844314	0.8419	0.841901
0.58	0.838902	0.836461	0.836463
0.59	0.833406	0.830939	0.830941
0.6	0.827827	0.825334	0.825336
0.61	0.822163	0.819647	0.819648
0.62	0.816417	0.813877	0.813878
0.63	0.810589	0.808026	0.808028
0.64	0.804679	0.802094	0.802096
0.65	0.798688	0.796082	0.796084
0.66	0.792617	0.789991	0.789992
0.67	0.786466	0.78382	0.783822
0.68	0.780235	0.777571	0.777573
0.69	0.773926	0.771244	0.771246
0.7	0.767539	0.76484	0.764842
0.71	0.761074	0.75836	0.758362
0.72	0.754533	0.751804	0.751806
0.73	0.747915	0.745172	0.745174
0.74	0.741223	0.738466	0.738469
