x t u_exact u_numerical
0 0 0 0
0.1 0 0.309017 0.309017
0.2 0 0.587785 0.587785
0.3 0 0.809017 0.809017
0.4 0 0.951057 0.951057
0.5 0 1 1
0.6 0 0.951057 0.951057
0.7 0 0.809017 0.809017
0.8 0 0.587785 0.587785
0.9 0 0.309017 0.309017
1 0 0 1.22465e-16

0 0.01 0 0
0.1 0.01 0.279975 0.278768
0.2 0.01 0.532544 0.530249
0.3 0.01 0.732984 0.729825
0.4 0.01 0.861674 0.85796
0.5 0.01 0.906018 0.902113
0.6 0.01 0.861674 0.85796
0.7 0.01 0.732984 0.729825
0.8 0.01 0.532544 0.530249
0.9 0.01 0.279975 0.278768
1 0.01 0 0

0 0.02 0 0
0.1 0.02 0.253662 0.25148
0.2 0.02 0.482495 0.478344
0.3 0.02 0.664097 0.658384
0.4 0.02 0.780693 0.773977
0.5 0.02 0.820869 0.813808
0.6 0.02 0.780693 0.773977
0.7 0.02 0.664097 0.658384
0.8 0.02 0.482495 0.478344
0.9 0.02 0.253662 0.25148
1 0.02 0 0

0 0.03 0 0
0.1 0.03 0.229823 0.226864
0.2 0.03 0.437149 0.431521
0.3 0.03 0.601684 0.593937
0.4 0.03 0.707322 0.698215
0.5 0.03 0.743722 0.734147
0.6 0.03 0.707322 0.698215
0.7 0.03 0.601684 0.593937
0.8 0.03 0.437149 0.431521
0.9 0.03 0.229823 0.226864
1 0.03 0 0

0 0.04 0 0
0.1 0.04 0.208224 0.204657
0.2 0.04 0.396065 0.38928
0.3 0.04 0.545136 0.535798
0.4 0.04 0.640846 0.629869
0.5 0.04 0.673825 0.662283
0.6 0.04 0.640846 0.629869
0.7 0.04 0.545136 0.535798
0.8 0.04 0.396065 0.38928
0.9 0.04 0.208224 0.204657
1 0.04 0 0

0 0.05 0 0
0.1 0.05 0.188654 0.184624
0.2 0.05 0.358842 0.351175
0.3 0.05 0.493903 0.483351
0.4 0.05 0.580618 0.568213
0.5 0.05 0.610498 0.597454
0.6 0.05 0.580618 0.568213
0.7 0.05 0.493903 0.483351
0.8 0.05 0.358842 0.351175
0.9 0.05 0.188654 0.184624
1 0.05 0 0

0 0.06 0 0
0.1 0.06 0.170924 0.166551
0.2 0.06 0.325117 0.316799
0.3 0.06 0.447485 0.436037
0.4 0.06 0.526051 0.512592
0.5 0.06 0.553122 0.538971
0.6 0.06 0.526051 0.512592
0.7 0.06 0.447485 0.436037
0.8 0.06 0.325117 0.316799
0.9 0.06 0.170924 0.166551
1 0.06 0 0

0 0.07 0 0
0.1 0.07 0.15486 0.150248
0.2 0.07 0.294562 0.285789
0.3 0.07 0.40543 0.393355
0.4 0.07 0.476611 0.462416
0.5 0.07 0.501139 0.486213
0.6 0.07 0.476611 0.462416
0.7 0.07 0.40543 0.393355
0.8 0.07 0.294562 0.285789
0.9 0.07 0.15486 0.150248
1 0.07 0 0

0 0.08 0 0
0.1 0.08 0.140306 0.135541
0.2 0.08 0.266878 0.257814
0.3 0.08 0.367327 0.35485
0.4 0.08 0.431818 0.417152
0.5 0.08 0.454041 0.438619
0.6 0.08 0.431818 0.417152
0.7 0.08 0.367327 0.35485
0.8 0.08 0.266878 0.257814
0.9 0.08 0.140306 0.135541
1 0.08 0 0

0 0.09 0 0
0.1 0.09 0.12712 0.122273
0.2 0.09 0.241797 0.232577
0.3 0.09 0.332805 0.320115
0.4 0.09 0.391235 0.376318
0.5 0.09 0.411369 0.395684
0.6 0.09 0.391235 0.376318
0.7 0.09 0.332805 0.320115
0.8 0.09 0.241797 0.232577
0.9 0.09 0.12712 0.122273
1 0.09 0 0

0 0.1 0 0
0.1 0.1 0.115173 0.110304
0.2 0.1 0.219072 0.209811
0.3 0.1 0.301527 0.28878
0.4 0.1 0.354466 0.339481
